赛事,主队,客队,主队进球,客队进球,亚盘水位,亚盘,赔率水位,胜,平,负,返还率
英超,诺维奇,利物浦,0,3,0.89,受一球/球半,1.04,6.5,4.75,1.44,94.40%
德甲,比勒费,弗赖堡,0,0,0.79,受平手/半球,1.11,2.88,3.4,2.4,94.50%
德甲,奥格斯,霍芬海,0,4,0.98,受平手/半球,0.92,3.3,3.75,2.05,94.60%
德甲,柏林联,勒沃,1,1,0.95,平手,0.95,2.55,3.4,2.7,94.60%
德甲,斯图加,菲尔特,5,1,0.83,半球,1.07,1.75,4,4.2,94.40%
德甲,沃尔夫,波鸿,1,0,0.97,一球/球半,0.93,1.4,5,7,94.60%
德甲,多特,法兰克,5,2,1.01,一球/球半,0.89,1.45,5,5.75,94.00%
西甲,加的斯,莱万特,1,1,0.9,受平手/半球,1.03,3.3,3.25,2.2,93.90%
西甲,阿拉维,皇马,1,4,0.84,受一球,1.06,6,4.2,1.57,96.00%
英超,布伦特,阿森纳,2,0,1.11,受平手/半球,0.79,3.8,3.25,2.05,94.50%
德甲,门兴,拜仁,1,1,0.97,受半球/一球,0.96,4.33,4.5,1.65,94.40%
德乙,圣保利,汉堡,3,2,0.83,受平手/半球,1.03,3,3.6,2.2,93.80%
德乙,沙尔克,奥厄,1,1,0.9,一球,0.95,1.5,4,6.5,93.40%
意杯,热那亚,佩鲁贾,3,2,0.88,半球/一球,0.98,1.62,4,4.75,92.80%
意杯,乌迪内,阿斯科,3,1,0.95,一球/球半,0.9,1.36,4.2,8,91.00%
西甲,巴伦西,赫塔费,1,0,1.04,平手/半球,0.86,2.38,3,3.3,94.60%
法甲,洛里昂,摩纳哥,1,0,0.93,受半球,0.93,4,3.75,1.85,94.60%
荷甲,前进鹰,海伦芬,0,1,1.03,平手,0.87,2.88,3.4,2.4,94.50%
荷乙,埃门,埃因FC,0,1,1,一球/球半,0.85,1.4,5,6.5,93.60%
荷乙,福伦丹,海牙,1,3,1.03,一球,0.83,1.6,4,5.5,94.60%
荷乙,马斯特,格拉夫,1,3,0.73,受一球/球半,1.15,6.5,4.5,1.45,93.80%
荷乙,布雷达,特尔斯,2,2,0.98,半球/一球,0.88,1.7,3.8,4.75,94.20%
荷乙,奥斯,芬洛,2,1,1.03,平手/半球,0.83,2.3,3.5,2.88,93.70%
欧冠,谢里夫,红星,1,0,0.98,受平手/半球,0.83,3.75,3.2,2,92.70%
欧冠,斯拉维,费伦茨,1,0,1,一球/球半,0.85,1.4,4.33,7,91.90%
欧冠,矿工,亨克,2,1,0.98,半球,0.83,1.95,3.6,3.4,92.20%
欧冠,摩纳哥,布拉格,3,1,0.9,球半,0.9,1.3,4.75,9.5,92.20%
欧冠,中日兰,埃因霍,0,1,1,受半球,0.8,4,3.6,1.75,91.00%
欧冠,卢多戈,奥林匹,2,2,0.83,受平手/半球,0.98,3,3,2.38,92.00%
欧冠,年轻人,克卢日,3,1,0.93,一球,0.88,1.5,4,5.5,91.00%
欧冠,本菲卡,莫斯巴,2,0,0.98,一球/球半,0.83,1.45,4.5,7,94.80%
欧冠,流浪者,马尔默,1,2,1.05,一球,0.75,1.5,3.8,6.5,92.30%
欧冠,华沙,萨格勒,0,1,0.78,受平手/半球,1.03,3,3.1,2.4,93.20%
欧罗巴,科罗拉,奥莫尼,2,1,1,平手,0.8,2.7,3.25,2.5,92.80%
欧罗巴,布拉迪,林肯鬼,1,1,0.83,球半/两球,0.98,1.22,5.75,12,92.90%
欧超杯,切尔西,比利亚,1,1,0.98,半球/一球,0.92,1.7,3.6,5.25,94.70%
解放者杯,圣保罗,帕尔梅,1,1,0.78,平手,1.1,2.45,3,3.1,94.00%
德国杯,不伦瑞,汉堡,1,2,1.05,受半球/一球,0.8,5,4.2,1.55,92.30%
德国杯,维尔茨,弗赖堡,0,1,0.78,受球半,1.03,8.5,4.75,1.36,94.00%
德国杯,罗斯托,海登,1,1,0.9,平手,0.95,2.55,3.4,2.63,93.80%
法甲,埃蒂安,洛里昂,1,1,0.92,平手/半球,1.01,2.1,3.5,3.4,94.70%
法甲,尼斯,兰斯,0,0,0.86,半球,1.07,1.75,3.6,4.75,94.40%
法甲,梅斯,里尔,3,3,1.07,受半球,0.86,5,3.4,1.8,95.30%
法甲,蒙彼利,马赛,2,3,0.83,受半球,1.1,3.6,3.5,2.05,95.10%
瑞典超,佐加顿,索尔纳,1,4,1.1,半球,0.8,1.95,3.4,4,94.60%
瑞典超,埃尔夫,代格福什,3,0,1,一球/球半,0.85,1.45,4.5,7,94.80%
瑞典超,哥德堡,哈马比,0,0,1,平手/半球,0.85,2.3,3.4,3,94.10%
挪超,姆延达伦,特罗姆,2,3,0.78,平手,1.1,2.38,3.3,2.8,92.60%
挪超,莫尔德,海于松,5,4,0.88,一球,0.98,1.53,4.5,5.25,93.80%
挪超,桑德,利勒斯,1,1,1,平手,0.85,2.7,3.3,2.45,92.50%
挪超,维京,克里斯,3,2,0.9,半球,0.95,1.85,3.6,3.75,92.20%
英冠,谢菲联,伯明翰,0,1,0.9,半球/一球,1,1.65,3.5,6,94.50%
社区盾,莱切城,曼城,1,0,1.04,受平手/半球,0.86,3.6,3.5,2.05,95.10%
德国杯,马格德堡,圣保利,2,3,0.83,受平手/半球,1.03,3,3.75,2.2,94.80%
德国杯,韦恩,多特,0,3,1.05,受两球,0.8,13,7.5,1.17,93.90%
法甲,里昂,布雷斯,1,1,0.99,球半,0.94,1.36,5,8.5,95.00%
法甲,特鲁瓦,日尔曼,1,2,0.95,受球半,0.98,9.5,5.25,1.3,93.90%
法乙,欧塞尔,阿雅克,0,0,1,半球,0.85,2,3.2,4.2,95.20%
法乙,第戎,罗德兹,1,1,1.1,平手/半球,0.78,2.45,2.9,3.25,94.30%
法乙,格勒诺,甘冈,0,0,0.78,受平手/半球,1.1,3,3.2,2.4,94.10%
法乙,萨瑟堡,图卢兹,0,1,0.83,受半球,1.03,3.8,3.3,2,93.80%
法乙,瓦朗谢,尼姆,0,3,0.78,受平手/半球,1.1,3,3.25,2.45,95.30%
法乙,阿弗尔,巴黎FC,1,2,0.9,受平手/半球,0.95,3.2,3.3,2.2,93.50%
瑞典超,哈尔姆,马尔默,0,0,0.84,受半球,1.06,3.75,3.4,1.95,93.10%
瑞典超,厄勒布,米亚尔,2,2,0.76,受平手/半球,1.16,3.1,3,2.45,94.00%
德乙,汉堡,德累斯,1,1,1.05,一球,0.8,1.57,3.8,6,93.70%
德乙,基尔,沙尔克,0,3,0.95,平手/半球,0.9,2.2,3.5,3.2,95.00%
德乙,奥厄,圣保利,0,0,0.88,受半球,0.98,3.75,3.6,1.95,94.60%
瑞典超,佐加顿,赫根,2,1,1.03,一球,0.83,1.6,4,5.75,95.30%
瑞典超,卡尔马,米亚尔,1,0,0.89,半球,1.01,1.83,3.1,4.5,91.60%
瑞典超,厄斯松,哈马比,1,1,0.87,受半球/一球,1.03,4,4,1.75,93.30%
瑞典超,索尔纳,哈尔姆,1,0,0.88,半球,0.98,1.83,3.4,4.5,94.10%
瑞典超,哥德堡,北雪平,1,2,0.93,平手/半球,0.93,2.15,3.5,3.2,94.00%
瑞典超,天狼星,厄勒布,1,2,1.03,半球/一球,0.83,1.75,3.75,4.5,94.30%
巴甲,科林蒂,弗拉门,1,3,0.9,受半球/一球,0.95,5,3.75,1.7,94.80%
巴甲,米内罗,巴拉竞,2,0,0.93,半球/一球,0.93,1.65,3.5,5.25,92.40%
巴甲,沙佩科,桑托斯,0,1,1.05,受平手/半球,0.8,3.5,3.1,2.05,91.20%
巴甲,巴伊亚,累体育,0,1,0.85,半球,1,1.75,3.5,4.2,91.30%
巴甲,戈亚尼,米美洲,1,1,0.78,平手,1.1,2.5,3.1,3,94.70%
欧冠,奥莫尼,萨格勒,0,1,0.88,受平手/半球,0.98,3,3.4,2.3,94.10%
欧冠,科罗拉,华沙,0,1,0.88,受半球/一球,0.93,5,3.8,1.65,93.50%
欧冠,赫尔辛,马尔默,2,2,0.9,受平手/半球,0.9,3.1,3.6,2.15,93.90%
欧冠,萨尔基,费伦茨,1,3,1,受半球,0.85,4.2,3.8,1.75,93.20%
欧冠,尼菲治,奥林匹,0,1,0.88,受半球,0.93,4.2,3.2,1.95,94.00%
欧冠,克卢日,林肯鬼,2,0,0.9,球半/两球,0.95,1.18,6.5,15,93.60%
欧冠,中日兰,凯尔特,1,1,0.8,平手,1,2.45,3.3,2.8,93.60%
欧冠,卢多戈,慕拉,3,1,0.95,球半,0.85,1.29,4.75,10,92.10%
欧冠,加拉塔,埃因霍,1,2,0.93,受半球,0.88,3.4,4,1.91,93.70%
欧冠,年轻人,布拉迪,3,2,0.93,球半,0.93,1.3,5.5,9,94.10%
欧冠,布拉格,快速,2,0,0.83,半球,0.98,1.83,3.8,4,94.40%
挪超,利勒斯,萨堡,2,0,0.83,半球,1.03,1.75,3.5,4.75,93.70%
挪超,海于松,斯特罗姆,2,1,0.8,半球/一球,1.05,1.6,4.2,5,94.10%
挪超,姆延达伦,斯塔贝,1,2,0.95,半球,0.9,1.91,3.5,3.9,93.80%
法乙,第戎,索肖,1,3,0.8,受半球,1.05,3.6,3.5,2,94.00%
瑞典超,卡尔马,佐加顿,0,1,0.95,受平手/半球,0.9,3.4,3.4,2.1,93.90%
瑞典超,赫根,埃尔夫,1,1,0.93,平手,0.93,2.6,3.6,2.5,94.10%
瑞典超,哈马比,北雪平,2,1,0.83,半球,1.03,1.8,3.8,4,93.60%
瑞典超,厄勒布,索尔纳,1,1,1.03,受半球/一球,0.83,5.5,4,1.57,93.60%
瑞典超,厄斯松,哈尔姆,0,1,0.98,受平手/半球,0.88,3.3,3.5,2.1,93.90%
瑞典超,瓦尔贝里,哥德堡,2,0,1.03,受平手/半球,0.83,3.6,3.4,2,93.30%
巴甲,米内罗,巴伊亚,3,0,0.83,半球/一球,1.03,1.62,3.9,5.5,94.70%
巴甲,福塔雷,巴甘蒂,1,0,0.93,平手,0.93,2.7,3.2,2.7,94.90%
巴甲,弗拉门,圣保罗,5,1,1.05,一球,0.8,1.55,4,6,94.20%
巴甲,巴拉竞,巴国际,2,1,0.75,平手,1.13,2.5,3.1,2.9,93.70%
巴甲,桑托斯,戈亚尼,0,1,1.05,半球/一球,0.8,1.8,3.4,4.75,94.30%
巴甲,累体育,塞阿拉,0,0,0.85,受平手/半球,1,3.75,3,2.1,92.90%
巴甲,尤文图,沙佩科,1,0,0.88,平手/半球,0.98,2.2,2.88,3.8,93.90%
德乙,不来梅,汉诺威,1,1,0.95,半球,0.9,1.85,3.6,4,93.60%
法乙,巴斯蒂,尼姆,1,1,1.05,平手/半球,0.8,2.38,3,3.3,94.60%
法乙,格勒诺,巴黎FC,0,4,1.1,平手,0.78,3.2,3.1,2.4,95.10%
法乙,卡昂,罗德兹,4,0,1.1,平手/半球,0.78,2.38,3.1,3.1,93.90%
法乙,图卢兹,阿雅克,2,2,0.9,半球,0.95,1.85,3.1,4.75,93.10%
法乙,亚眠,欧塞尔,1,2,0.8,受平手/半球,1.05,3.25,3.1,2.3,93.90%
法乙,阿弗尔,甘冈,0,0,0.75,平手,1.13,2.45,3.1,3,94.00%
法乙,萨瑟堡,南锡,2,1,0.75,平手,1.13,2.5,3,3,93.80%
法乙,敦刻尔克,奎维利,1,1,0.83,半球,1.03,1.8,3.4,4.75,94.30%
法乙,瓦朗谢,尼奥尔,0,0,1,平手/半球,0.85,2.2,3,3.6,93.80%
瑞典超,米亚尔,马尔默,0,2,1.01,受半球,0.89,4,3.5,1.8,91.60%
瑞典超,天狼星,代格福什,2,0,1.03,半球,0.83,1.95,3.8,3.4,93.40%
巴甲,格雷米,米美洲,1,1,0.88,半球,0.98,1.91,3.4,4,93.70%
巴甲,帕尔梅,弗鲁米,1,0,0.78,半球/一球,1.1,1.57,3.5,7,93.90%
欧冠,林肯鬼,克卢日,1,2,0.9,受球半,0.9,12,6.5,1.22,94.60%
欧冠,费伦茨,萨尔基,2,0,1,球半,0.8,,,,
欧冠,萨格勒,奥莫尼,2,0,0.88,一球,0.93,1.5,4.2,6.5,94.50%
欧冠,快速,布拉格,2,1,0.9,平手/半球,0.95,2.15,3.4,3.3,94.10%
欧冠,凯尔特,中日兰,1,1,0.93,半球,0.88,1.91,3.6,3.8,93.90%
欧冠,马尔默,赫尔辛,2,1,1,一球,0.8,1.53,4,6,93.40%
欧冠,慕拉,卢多戈,0,0,0.95,受半球,0.85,4.33,3.5,1.83,94.10%
欧冠,布拉迪,年轻人,0,0,0.85,受半球,0.95,3.8,3.5,1.91,93.20%
欧冠,埃因霍,加拉塔,5,1,0.88,一球,0.93,1.5,4.33,6,94.00%
欧冠,奥林匹,尼菲治,1,0,0.85,球半,0.95,1.25,5.5,11,93.20%
挪超,斯特罗姆,奥德,3,0,1.05,半球,0.8,2,3.75,3.3,93.50%
挪超,桑德,海于松,1,1,1.03,平手,0.83,2.9,3.3,2.38,93.60%
挪超,萨堡,姆延达伦,1,1,0.93,半球,0.93,1.95,3.2,4.2,94.00%
挪超,斯塔贝,利勒斯,2,3,0.93,受平手/半球,0.93,3.3,3.6,2.05,93.60%
瑞典超,北雪平,赫根,0,1,0.98,平手/半球,0.88,2.2,3.5,3,93.10%
瑞典超,厄勒布,哈马比,0,2,0.85,受一球,1,5.5,4,1.53,92.10%
瑞典超,索尔纳,卡尔马,2,0,0.83,半球,1.03,1.67,3.4,4.5,89.70%
瑞典超,哥德堡,米亚尔,3,2,0.93,半球/一球,0.93,1.7,3.6,5.25,94.70%
挪超,克里斯,桑德,2,0,1.03,半球/一球,0.83,1.75,3.75,4.33,93.50%
挪超,利勒斯,莫尔德,1,1,1,受半球,0.85,4.2,3.75,1.8,94.30%
挪超,布兰,姆延达伦,1,1,1.05,半球,0.8,1.95,3.4,3.8,93.40%
挪超,特罗姆,罗森博,1,3,1.1,平手/半球,0.78,2.4,3.3,3,95.00%
挪超,海于松,瓦勒伦,3,1,1.03,平手,0.83,2.9,3.25,2.45,94.30%
挪超,斯特罗姆,斯塔贝,2,1,0.93,半球/一球,0.93,1.75,4,4.2,94.40%
巴甲,沙佩科,古亚巴,2,3,1.1,平手/半球,0.78,2.45,3.1,3,94.00%
巴甲,戈亚尼,帕尔梅,0,3,0.9,受半球,0.95,4,3.75,1.85,94.60%
巴甲,巴伊亚,弗拉门,0,5,0.95,受半球/一球,0.9,5.25,3.8,1.67,95.00%
金杯赛,美国,加拿大,1,0,0.9,半球,0.95,1.75,3.75,4.5,94.30%
日职,清水,川崎,0,2,1,受一球,0.85,6.5,4.5,1.45,93.80%
日职,福冈,大阪,0,1,0.8,受平手/半球,1.05,3.1,3.2,2.3,93.50%
日职,樱花,神户,1,1,1.1,平手,0.78,2.8,3.4,2.4,93.60%
日职,鸟栖,名古屋,3,1,0.85,受平手/半球,1,3.3,2.9,2.3,92.40%
日职乙,京都,新泻,1,1,0.88,平手/半球,0.98,2.15,3.4,3.3,94.10%
日职乙,磐田,山形,1,2,0.98,平手/半球,0.88,2.2,3.3,3.25,93.90%
日职乙,长崎,北九州,3,2,0.83,一球,1.03,1.5,4,7,94.40%
瑞典超,代格福什,马尔默,0,5,1.03,受一球,0.83,6,4.75,1.45,93.70%
瑞典超,埃尔夫,厄斯松,3,0,1.05,一球/球半,0.8,1.44,4.2,6,91.00%
挪超,奥德,维京,3,2,0.88,半球,0.98,1.8,4,3.8,93.60%
挪超,萨堡,博德,2,2,1.07,受平手/半球,0.83,3.6,3.4,2.1,95.40%
巴甲,塞阿拉,巴拉竞,1,0,1.05,半球,0.8,1.95,3.4,4,94.60%
巴甲,圣保罗,福塔雷,0,1,0.78,平手/半球,1.1,2.1,3,3.8,93.20%
巴甲,科林蒂,米内罗,1,2,0.85,平手,1,2.55,3.2,2.88,95.10%
欧冠,希伯尼,科罗拉,0,3,0.78,受半球,1.03,3.5,3.4,2,92.60%
欧冠,林肯鬼,福拉,5,0,0.85,受平手/半球,1,3,3.6,2.15,92.90%
欧冠,里加,马尔默,1,1,0.88,受一球/球半,0.93,7.5,4.75,1.33,91.30%
欧冠,谢里夫,都拉斯,1,0,1,两球/两球半,0.85,1.14,7,17,92.70%
欧冠,慕拉,斯肯迪,5,0,1,半球,0.8,1.91,3.4,3.6,91.30%
欧冠,波德戈,赫尔辛,0,4,0.98,受平手/半球,0.83,3.3,3.4,2,91.10%
欧冠,林菲尔,萨尔基,1,2,0.78,受平手/半球,1.03,2.9,3.3,2.25,91.50%
欧冠,沙姆洛,布拉迪,2,1,0.93,平手,0.88,2.62,3.25,2.45,91.10%
欧冠,索矿工,卢多戈,0,1,0.8,受半球,1,3.4,3.5,1.95,91.50%
欧冠,瓦路尔,萨格勒,0,2,0.93,受球半/两球,0.88,12,5.5,1.25,93.90%
欧冠,阿拉木,海法,2,0,0.88,平手,0.93,2.45,3.25,2.7,92.10%
欧冠,叶阿拉,康纳斯,0,0,0.85,一球/球半,0.95,1.3,4.33,9,90.00%
欧冠,尼菲治,第比利,2,1,0.9,半球,0.9,1.83,3.4,4.2,92.70%
欧冠,华沙,博德,2,0,0.88,半球/一球,0.93,1.65,4.2,4.5,93.80%
亚冠杯,越电信,卡雅,1,0,0.925,两球,0.925,1.17,7,17,94.70%
亚冠杯,联合城市,大邱FC,0,4,,,,,,,
亚冠杯,巴吞联,蔚山,0,2,1.025,受一球,0.825,7,3.8,1.44,90.90%
日职,太阳神,鹿岛,2,1,0.975,受半球,0.875,4,3.6,1.85,93.60%
日职,湘南,东京FC,0,1,0.975,受半球,0.875,3.9,3.5,1.91,93.80%
瑞典超,哈马比,代格福什,5,1,0.93,一球,0.97,1.53,4.2,6,94.50%
瑞典超,米亚尔,北雪平,0,1,0.83,平手,1.07,2.45,3.4,2.75,93.80%
瑞典超,埃尔夫,厄勒布,2,1,0.92,一球/球半,0.98,1.4,4.5,8,94.20%
瑞典超,厄斯松,哥德堡,2,3,0.89,受平手/半球,1.01,3.2,3.4,2.2,94.20%
挪超,瓦勒伦,利勒斯,2,2,0.86,半球/一球,1.04,1.67,4,4.75,94.40%
挪超,莫尔德,奥德,5,0,0.86,球半,1.04,1.3,5.75,8.5,94.30%
巴甲,尤文图,戈亚尼,1,1,1.125,平手/半球,0.75,2.5,3.1,2.9,93.70%
巴甲,弗拉门,沙佩科,2,1,0.875,球半/两球,0.975,1.17,7,17,94.70%
巴甲,古亚巴,塞阿拉,2,2,0.975,平手,0.875,2.88,3,2.62,94.10%
亚冠杯,全北,大阪,2,1,0.9,平手,0.95,2.6,3.2,2.7,93.70%
亚冠杯,淡宾尼,清莱联,0,3,0.925,受球半,0.925,9,5.25,1.3,93.40%
瑞典超,索尔纳,瓦尔贝里,2,1,1,一球,0.9,1.53,4,6,93.40%
挪超,姆延达伦,海于松,3,0,0.84,受平手/半球,1.06,3.1,3.2,2.3,93.50%
挪超,桑德,萨堡,2,0,1.03,平手/半球,0.87,2.25,3.2,3.3,94.30%
挪超,维京,斯特罗姆,1,1,0.9,半球/一球,1,1.7,4.2,4.2,93.90%
挪超,罗森博,克里斯,1,0,1,一球,0.9,1.55,4.33,5.25,93.80%
挪超,布兰,特罗姆,1,1,0.83,平手/半球,1.07,2,3.5,3.6,94.00%
巴甲,格雷米,巴国际,0,0,1,平手/半球,0.85,2.3,3,3.4,94.10%
巴甲,帕尔梅,桑托斯,3,2,0.95,一球,0.9,1.53,4,6.5,94.60%
巴甲,巴拉竞,巴甘蒂,2,2,0.78,平手,1.1,2.45,3.1,3,94.00%
巴甲,米美洲,米内罗,0,1,0.875,受半球,0.975,4,3.2,2,94.10%
巴甲,圣保罗,巴伊亚,1,0,0.925,半球,0.925,1.83,3.5,4.33,94.10%
巴甲,累体育,弗鲁米,1,2,0.825,平手,1.025,2.5,3,3,93.80%
亚冠杯,大阪,淡宾尼,8,1,1,三球,0.85,1.04,11,15,89.40%
亚冠杯,清莱联,全北,1,3,1,受球半,0.85,8,5.5,1.25,90.30%
欧冠,博德,华沙,2,3,0.85,平手/半球,1,1.95,3.3,3.3,89.40%
欧冠,第比利,尼菲治,1,2,0.78,受平手/半球,1.1,2.75,3.2,2.3,90.00%
欧冠,布拉迪,沙姆洛,2,0,0.88,一球,0.98,1.44,4,5.75,89.40%
欧冠,都拉斯,谢里夫,0,4,0.78,受半球,1.03,3.4,3.25,1.95,89.70%
欧冠,海法,阿拉木,1,1,0.8,半球,1,1.75,3.5,4,90.30%
欧冠,马尔默,里加,1,0,0.93,两球,0.88,1.1,8,12,89.50%
欧冠,卢多戈,索矿工,1,0,0.8,半球,1,1.75,3.2,4.33,89.70%
欧冠,萨格勒,瓦路尔,3,2,0.83,两球,0.98,1.14,8,13,92.70%
欧冠,康纳斯,叶阿拉,2,2,0.9,平手,0.9,2.5,3.1,2.5,89.10%
巴甲,福塔雷,米美洲,4,0,0.83,半球,1.03,1.8,3.4,4.75,94.30%
巴甲,帕尔梅,格雷米,2,0,1,半球,0.85,2,3.4,3.75,94.30%
巴甲,米内罗,弗拉门,2,1,0.78,受平手/半球,1.1,2.88,3.25,2.45,94.10%
亚冠杯,淡宾尼,全北,0,4,0.83,受四球半,0.98,21,15,1.02,91.40%
亚冠杯,名古屋,达罗塔,2,1,0.8,两球/两球半,1,1.14,6.5,13,90.30%
亚冠杯,大阪,清莱联,1,1,0.93,球半,0.88,1.29,4.5,9,90.20%
瑞典超,赫根,索尔纳,2,1,0.83,平手/半球,1.03,2.05,3.4,3.5,93.70%
瑞典超,瓦尔贝里,卡尔马,1,1,1.03,平手,0.83,2.9,3.2,2.45,93.90%
瑞典超,哈马比,哈尔姆,1,1,0.83,半球,1.03,1.8,3.8,4,93.60%
瑞典超,天狼星,米亚尔,2,1,0.83,平手,1.07,2.55,3.25,2.8,94.60%
挪超,斯塔贝,桑德,0,2,1,平手/半球,0.85,2.2,3.6,3,93.80%
挪超,海于松,特罗姆,3,0,0.85,半球,1,1.85,3.5,4.2,94.00%
挪超,利勒斯,姆延达伦,2,1,0.93,半球/一球,0.93,1.7,3.6,5,93.80%
挪超,奥德,罗森博,2,2,0.93,平手,0.93,2.7,3.25,2.6,94.10%
挪超,萨堡,莫尔德,1,0,0.95,受半球/一球,0.9,4.75,3.8,1.7,94.20%
挪超,斯特罗姆,瓦勒伦,1,1,0.83,受半球/一球,1.03,4.2,4,1.75,94.40%
巴甲,沙佩科,巴伊亚,0,2,0.85,受平手/半球,1,3.2,3.4,2.25,95.10%
日职,神户,湘南,3,1,0.88,半球/一球,0.98,1.65,3.8,5,93.50%
日职,太阳神,横滨,1,2,0.88,受一球,0.98,5.25,4.2,1.57,93.90%
日职,广岛,鸟栖,1,1,0.98,半球,0.88,1.91,3.4,4,93.70%
日职,仙台,浦和,0,0,0.9,受半球,0.95,4.2,3.4,1.91,94.70%
日职乙,冈山,甲府,1,3,0.9,受平手/半球,0.95,3.4,3.2,2.2,94.20%
日职乙,磐田,新泻,3,2,0.95,平手/半球,0.9,2.15,3.3,3.4,94.10%
日职乙,大宫,山形,1,3,0.88,受平手/半球,0.98,3.2,3.3,2.2,93.50%
日职乙,金泽,FC琉球,1,2,0.9,平手,0.95,2.45,3.6,2.63,93.80%
欧洲杯,瑞士,西班牙,1,1,0.775,受一球,1.025,5.75,3.9,1.62,95.50%
欧洲杯,比利时,意大利,1,2,0.92,受平手/半球,1.01,3.4,3.2,2.25,95.10%
欧洲杯,捷克,丹麦,1,2,1.08,受平手/半球,0.85,4,3,2.15,95.40%
美洲杯,秘鲁,巴拉圭,3,3,0.98,平手,0.88,2.8,2.75,3,94.90%
美洲杯,巴西,智利,1,0,1.05,球半,0.8,1.29,5,13,95.00%
美洲杯,乌拉圭,哥伦比,0,0,0.95,平手/半球,0.9,2.3,3,3.6,95.60%
亚冠杯,大邱FC,联合城市,7,0,0.95,球半,0.9,,,,
亚冠杯,卡雅,越电信,0,5,0.9,受一球/球半,0.9,8,4.33,1.36,91.60%
亚冠杯,樱花,狮子港,1,1,0.83,半球/一球,0.98,1.6,4.2,4.5,92.10%
欧洲杯,英格兰,德国,2,0,1.07,平手/半球,0.86,2.38,3.3,3.1,95.60%
欧洲杯,瑞典,乌克兰,1,1,1.04,平手/半球,0.89,2.3,3.2,3.3,95.20%
挪超,莫尔德,斯特罗姆,3,0,1.03,两球,0.83,1.22,6.5,11,93.90%
挪超,罗森博,海于松,0,0,0.88,半球/一球,0.98,1.7,3.8,4.75,94.20%
挪超,桑德,博德,1,0,0.95,受半球,0.9,3.8,3.8,1.85,93.70%
挪超,特罗姆,克里斯,0,0,1.05,半球,0.8,2.05,3.4,3.5,93.70%
挪超,维京,斯塔贝,3,3,0.8,一球,1.05,1.5,4.6,5.5,93.80%
挪超,布兰,利勒斯,1,1,1.05,平手/半球,0.8,2.35,3.4,2.9,93.90%
巴甲,福塔雷,沙佩科,3,2,0.9,一球,0.95,1.5,4.1,7,94.90%
巴甲,巴伊亚,米美洲,3,4,0.83,平手/半球,1.03,2.1,3.1,3.75,93.90%
巴甲,巴国际,帕尔梅,1,2,0.85,平手,1,2.6,3.25,2.7,94.10%
日职,德岛,横滨,0,1,0.9,受半球/一球,0.95,4.75,3.9,1.67,93.80%
日职,横滨FC,清水,1,1,1,受半球,0.85,4.2,3.6,1.83,94.10%
日职,鹿岛,札幌,4,0,0.88,半球,0.98,1.75,4,4,93.30%
日职,东京FC,大分,3,0,0.93,半球/一球,0.93,1.67,3.6,5.5,94.50%
日职,湘南,太阳神,2,4,0.85,平手,1,2.62,3.1,2.8,94.20%
日职,浦和,福冈,2,0,0.9,半球,0.95,1.85,3.5,4.2,94.00%
日职乙,甲府,群马,6,2,0.98,半球/一球,0.88,1.73,3.6,4.75,93.80%
日职乙,町田,爱媛,5,0,0.75,半球/一球,1.13,1.55,3.75,6.5,93.80%
日职乙,山口,大宫,0,1,1.03,受平手/半球,0.83,3.6,3.3,2.05,93.60%
欧洲杯,威尔士,丹麦,0,4,0.86,受半球,1.04,4.5,3.1,1.95,94.60%
欧洲杯,意大利,奥地利,0,0,1.1,一球,0.8,1.55,3.75,7,94.80%
美洲杯,委内瑞,秘鲁,0,1,1,受平手/半球,0.85,3.8,2.9,2.2,94.10%
美洲杯,巴西,厄瓜多,1,1,1.03,一球/球半,0.83,1.4,4.5,8.5,94.90%
巴甲,弗鲁米,科林蒂,1,1,0.78,平手,1.1,2.45,3.1,3.1,94.90%
日职,神户,横滨FC,5,0,0.95,一球/球半,0.9,1.36,4.75,8,93.40%
日职,太阳神,浦和,0,2,0.95,平手,0.9,2.7,3.3,2.55,93.80%
日职,大分,鹿岛,0,0,0.8,受半球/一球,1.05,4.75,3.6,1.73,93.80%
日职,德岛,东京FC,0,1,0.83,平手,1.03,2.6,3.1,2.8,94.00%
日职,仙台,清水,2,3,1.1,平手,0.78,3,3.2,2.4,94.10%
日职,横滨,鸟栖,2,0,0.9,半球/一球,0.95,1.61,4.2,4.75,93.50%
欧洲杯,苏格兰,克罗地,1,3,1,平手,0.9,2.6,3.8,2.45,94.70%
欧洲杯,英格兰,捷克,1,0,0.85,一球,1.05,1.45,4.33,7.5,94.90%
欧洲杯,西班牙,斯洛伐,5,0,1.06,两球,0.87,1.18,6.5,17,94.30%
欧洲杯,瑞典,波兰,3,2,1.01,平手,0.92,3,3.4,2.4,95.80%
欧洲杯,德国,匈牙利,2,2,1,两球半,0.93,1.11,9.5,19,94.40%
欧洲杯,葡萄牙,法国,2,2,0.95,受半球,0.98,4.2,3.3,1.95,94.90%
美洲杯,厄瓜多,秘鲁,2,2,1.05,平手/半球,0.85,2.38,3.2,3.2,95.70%
巴甲,弗拉门,福塔雷,2,1,1.05,一球/球半,0.8,1.44,4,8,93.50%
欧洲杯,意大利,威尔士,1,0,0.91,一球,0.99,1.45,4,8.5,94.60%
